Human Rights - Nome,Human Rights - País,Human Rights - Grupo,CNPJ - Nome Fantasia,CNPJ - Nome Empresarial,CNPJ - CNPJ,CNPJ - Porte,CNPJ - Capital,CNPJ - Situação,CNPJ - Telefone,CNPJ - Email,CNPJ - Situação,CNPJ - CNAE,CNPJ - UF,CNPJ - Municipio,Investment - Name,Investment - Host Coyntry,Investment - Parent Company,Investment - Parent Country,Investment - Annual Sales,Investment - Number of Emplyees,Classificação
Barry Callebaut,Switzerland,,BARRY CALLEBAUT COCOA,BARRY CALLEBAUT COCOA ASIA PACIFIC PTE LTDA,05760273000158,DEMAIS,0,ATIVA,,KYCHIN@PETRAFOODS.COM.SG,ATIVA,6462000,EX,EXTERIOR,Barry Callebaut Brasil Indústria E Comércio De Produtos Alimentícios Ltda. - Barry Calleba,Brazil,JACOBS STIFTUNG,SWITZERLAND,,831,BOA
BASF,Germany,,BASF CONSTRUCTI,BASF CONSTRUCTION SOLUTIONS GMBH,35641397000185,NAO INFORMADO,0,ATIVA,,BCBRASIL@BASF.COM,ATIVA,6462000,EX,EXTERIOR,Basf S/A. - Basf,Brazil,BASF SE,GERMANY,,4000,REGULAR
Bayer,Germany,,BAYER INC,BAYER CROPSCIENCE INC,20186212000112,NAO INFORMADO,0,ATIVA,,BEATRIZ.GONCALVES@BAYER.COM,ATIVA,7210000,EX,EXTERIOR,Bayer S/A. - Bayer Sa,Brazil,Bayer AG,GERMANY,,0,REGULAR
Beckman Coulter,USA,,BECKMAN COULTER,BECKMAN COULTER HONG KONG LIMITED,30955401000166,NAO INFORMADO,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,Beckman Coulter Do Brasil Comercio E Importacao De Produto - Beckman Coulter Do Brasil Com,Brazil,Danaher Corporation,USA,,0,BOA
Canadian Solar,Canada,,CANADIAN SOLAR,CANADIAN SOLAR O AND M (ONTARIO) INC.,29862821000119,NAO INFORMADO,0,ATIVA,,LSS@ASAPDOCUMENTOS.COM.BR,ATIVA,6462000,EX,EXTERIOR,"Canadian Solar Brasil Comercialização, Importação E Exportação De Painéis Solares Ltda. -",Brazil,Canadian Solar Inc,CANADA,,11,BOA
Bell Helicopter (part of Textron),USA,Textron,BELL HELICOPTER SERVICES INC.,BELL HELICOPTER SERVICES INC.,05570749000198,DEMAIS,0,ATIVA,,rbernardi@vinhasebernardi.com.br,ATIVA,6462000,EX,EXTERIOR,Kautex Textron Do Brasil Ltda. - Kautex Textron Do Brasil,Brazil,Textron Inc.,USA,,0,RUIM
Canon,Japan,,CANON,CANON HOLDING LLC,23787686000108,NAO INFORMADO,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,Canon Indústria De Manaus Ltda. - Canon Industria De Manaus Ltda,Brazil,CANON INC.,JAPAN,,79,REGULAR
Capita,desconhecido,,VICTORIA CAPITA,VICTORIA CAPITAL PARTNERS L.P.,30135840000122,NAO INFORMADO,0,ATIVA,,ADIAS@VICTORIACP.COM,ATIVA,6462000,EX,EXTERIOR,The Capita Corporation Do Brasil Ltda - Thecapita Corporation Do Brasil Ltda,Brazil,CIT Group Inc.,USA,,4,REGULAR
D&S,desconhecido,,D & S WORLDWIDE,DREES & SOMMER WORLDWIDE GMBH,21599505000194,NAO INFORMADO,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,Dts Consulting Limitada - Dts Consulting,Chile,D T S Consulting,BRAZIL,,20,RUIM
Cargill,USA,,CARGILL INC.,CARGILL INCORPORATED,05524387000107,DEMAIS,0,ATIVA,,,ATIVA,1069400,EX,EXTERIOR,Cargill Agrícola S/A. - Cargill,Brazil,"Cargill, Incorporated",USA,,9000,REGULAR
Cargo,desconhecido,,CARGO,CARGO SYSTEMS INC.,32823311000147,NAO INFORMADO,0,ATIVA,,,ATIVA,4721104,EX,EXTERIOR,Csi Cargo Logística Integral S/A. - Csi Cargo,Brazil,SOCBER S.A.,ARGENTINA,,765,REGULAR
Bertelsmann,Germany,,BERTELSMANN,BERTELSMANN LUXEMBOURG INVESTMENTS S.A R.L.,33514693000190,NAO INFORMADO,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,Arvato Servicos Comercio E Industria Grafica Ltda - Arvato,Brazil,Bertelsmann SE & Co. KGaA,GERMANY,,200,RUIM
Albemarle,USA,,ALBEMARLE DUTCH,ALBEMARLE DUTCH HOLDINGS B.V.,30660780000167,NAO INFORMADO,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,Chemetall do Brasil Ltda.,Brazil,Albemarle Corporation,USA,,0,RUIM
Dana,USA,,DANA,DANA BRAZIL COMMERCIAL VEHICLE LLC,26044716000184,NAO INFORMADO,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,Dana Equipamentos Ltda. - Dana,Brazil,Dana Incorporated,USA,,1,REGULAR
Danaher,USA,,DANAHER,FORTIVE MOTION (HONG KONG) LIMITED,24655910000170,NAO INFORMADO,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,Beckman Coulter do Brasil Comercio E Importacao De Produto,Brazil,Danaher Corporation,USA,,11,RUIM
Danfoss,desconhecido,,DANFOSS,DANFOSS AB,30086654000140,NAO INFORMADO,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,Danfoss Do Brasil Indústria E Comércio Ltda. - Danfoss,Brazil,Danfoss A/S,DENMARK,,19000,REGULAR
Caterpillar,USA,,CATERPILLAR,CATERPILLAR PROPULSION PRODUCTION AB,27345076000105,NAO INFORMADO,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,Caterpillar Brasil Ltda. - Caterpillar Brasil,Brazil,Caterpillar Inc.,USA,,0,REGULAR
BHP (formerly BHP Billiton),Australia,,BHP BILLITON,SOUTH32 ALUMINIUM (HOLDINGS) PTY LTD,20742571000109,NAO INFORMADO,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,South 32 Minerals S/A. - Bhp Billiton Metais,Brazil,SOUTH32 LIMITED,AUSTRALIA,,0,REGULAR
